Model,Kernel_Size,Padding,Stride,Best_Val_Accuracy,Test_Accuracy,Val_Acc_%,Test_Acc_%,Success,Error
SimpleCNN,3,0,1,0.9553,0.9430,95.53%,94.30%,True,
SimpleCNN,3,0,2,0.9601,0.9367,96.01%,93.67%,True,
SimpleCNN,3,1,1,0.9569,0.9446,95.69%,94.46%,True,
SimpleCNN,3,1,2,0.9553,0.9446,95.53%,94.46%,True,
SimpleCNN,3,2,1,0.9537,0.9367,95.37%,93.67%,True,
SimpleCNN,3,2,2,0.9601,0.9430,96.01%,94.30%,True,
SimpleCNN,3,3,1,0.9553,0.9541,95.53%,95.41%,True,
SimpleCNN,3,3,2,0.9585,0.9415,95.85%,94.15%,True,
SimpleCNN,5,0,1,0.9681,0.9446,96.81%,94.46%,True,
SimpleCNN,5,0,2,0.9585,0.9383,95.85%,93.83%,True,
SimpleCNN,5,1,1,0.9585,0.9478,95.85%,94.78%,True,
SimpleCNN,5,1,2,0.9569,0.9430,95.69%,94.30%,True,
SimpleCNN,5,2,1,0.9665,0.9478,96.65%,94.78%,True,
SimpleCNN,5,2,2,0.9569,0.9320,95.69%,93.20%,True,
SimpleCNN,5,3,1,0.9601,0.9367,96.01%,93.67%,True,
SimpleCNN,5,3,2,0.9489,0.9383,94.89%,93.83%,True,
SimpleCNN,7,0,1,0.9617,0.9462,96.17%,94.62%,True,
SimpleCNN,7,0,2,0.9505,0.9509,95.05%,95.09%,True,
SimpleCNN,7,1,1,0.9585,0.9383,95.85%,93.83%,True,
SimpleCNN,7,1,2,0.9473,0.9383,94.73%,93.83%,True,
SimpleCNN,7,2,1,0.9633,0.9320,96.33%,93.20%,True,
SimpleCNN,7,2,2,0.9569,0.9399,95.69%,93.99%,True,
SimpleCNN,7,3,1,0.9537,0.9446,95.37%,94.46%,True,
SimpleCNN,7,3,2,0.9537,0.9494,95.37%,94.94%,True,
SimpleCNN2_deeper,3,0,1,0.9633,0.9478,96.33%,94.78%,True,
SimpleCNN2_deeper,3,0,2,0.0000,0.0000,0.00%,0.00%,False,Given input size: (256x1x1). Calculated output size: (256x0x0). Output size is too small
SimpleCNN2_deeper,3,1,1,0.9744,0.9351,97.44%,93.51%,True,
SimpleCNN2_deeper,3,1,2,0.9569,0.9335,95.69%,93.35%,True,
SimpleCNN2_deeper,3,2,1,0.9712,0.9525,97.12%,95.25%,True,
SimpleCNN2_deeper,3,2,2,0.9457,0.9399,94.57%,93.99%,True,
SimpleCNN2_deeper,3,3,1,0.9633,0.9509,96.33%,95.09%,True,
SimpleCNN2_deeper,3,3,2,0.9585,0.9383,95.85%,93.83%,True,
SimpleCNN2_deeper,5,0,1,0.9585,0.9573,95.85%,95.73%,True,
SimpleCNN2_deeper,5,0,2,0.0000,0.0000,0.00%,0.00%,False,Calculated padded input size per channel: (3 x 3). Kernel size: (5 x 5). Kernel size can't be greater than actual input size
SimpleCNN2_deeper,5,1,1,0.9617,0.9494,96.17%,94.94%,True,
SimpleCNN2_deeper,5,1,2,0.0000,0.0000,0.00%,0.00%,False,Given input size: (256x1x1). Calculated output size: (256x0x0). Output size is too small
SimpleCNN2_deeper,5,2,1,0.9681,0.9478,96.81%,94.78%,True,
SimpleCNN2_deeper,5,2,2,0.9521,0.9415,95.21%,94.15%,True,
SimpleCNN2_deeper,5,3,1,0.9665,0.9525,96.65%,95.25%,True,
SimpleCNN2_deeper,5,3,2,0.9521,0.9399,95.21%,93.99%,True,
SimpleCNN2_deeper,7,0,1,0.9473,0.9462,94.73%,94.62%,True,
SimpleCNN2_deeper,7,0,2,0.0000,0.0000,0.00%,0.00%,False,Calculated padded input size per channel: (2 x 2). Kernel size: (7 x 7). Kernel size can't be greater than actual input size
SimpleCNN2_deeper,7,1,1,0.9505,0.9557,95.05%,95.57%,True,
SimpleCNN2_deeper,7,1,2,0.0000,0.0000,0.00%,0.00%,False,Calculated padded input size per channel: (5 x 5). Kernel size: (7 x 7). Kernel size can't be greater than actual input size
SimpleCNN2_deeper,7,2,1,0.9585,0.9494,95.85%,94.94%,True,
SimpleCNN2_deeper,7,2,2,0.0000,0.0000,0.00%,0.00%,False,Given input size: (256x1x1). Calculated output size: (256x0x0). Output size is too small
SimpleCNN2_deeper,7,3,1,0.9649,0.9557,96.49%,95.57%,True,
SimpleCNN2_deeper,7,3,2,0.9457,0.9430,94.57%,94.30%,True,
